id,email,privilegeID,password,first_name,last_name,dateHired,isBlocked
1,1@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Peter,Panagakos,1997-06-16,0
2,2@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Juan,Portela,2000-08-25,0
3,3@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Jorge,Paez,2002-03-27,0
4,4@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Gary,Spence,2005-05-18,0
5,5@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Luis,Ramos,2007-12-12,0
6,6@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Reynaldo,Poveda,2008-07-07,0
7,7@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Craig,Harvey,2008-09-24,0
8,8@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Julian,Acosta,2010-12-06,0
9,9@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Shirley,Verde,2012-04-02,0
10,10@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Ana,Ogando,2012-10-15,0
11,11@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Courtney,Wilcox,2014-11-07,0
12,12@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Alexander,Caledron,2017-11-21,0
13,13@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Juan,Barriga,2018-03-28,0
14,14@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Danny,Regalado,2018-07-03,0
15,15@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Robert,Munoz,2018-07-03,0
